announced,body_type,camera_name,sensor_size,dp_score,n_had,n_own,n_want,price_high,price_low,questions,reviewed_date,user_review_count,user_score
"Jan 5, 2011
 ",Compact,FujiFilm FinePix T300 (FinePix T305 / FinePix T305),"1/2.3"" (6.17 x 4.55 mm)",,0,1,1,,,0 questions asked,"Reviewed Jul 20, 2011",,
"Jan 5, 2012
 ",Compact,Fujifilm FinePix T400,"1/2.3"" (6.17 x 4.55 mm)",,0,0,0,,,1 question asked,,,
"Jan 7, 2013
 ",Compact,Fujifilm FinePix T500,"1/2.3"" (6.17 x 4.55 mm)",,0,1,0,,,0 questions asked,,1,4
"Jan 7, 2013
 ",Compact,Fujifilm FinePix T550,"1/2.3"" (6.17 x 4.55 mm)",,0,0,0,,,2 questions asked,,,
"Jan 4, 2006
 ",Compact,Fujifilm FinePix V10 Zoom,"1/2.5"" (5.744 x 4.308 mm)",,2,0,1,,,0 questions asked,,6,4.2
"Sep 19, 2010
 ",Large sensor compact,Fujifilm FinePix X100,APS-C (23.6 x 15.8 mm),75%,330,718,77,"$1,277.44 ",$890.00 ,363 questions asked,"Reviewed May 16, 2011",27,4.65741
"Feb 2, 2010
 ",Compact,FujiFilm FinePix XP10 (FinePix XP11),"1/2.3"" (6.17 x 4.55 mm)",,9,10,1,$305.19 ,$159.89 ,2 questions asked,,4,3.4
"Jan 5, 2017
 ",Ultracompact,Fujifilm FinePix XP120,"1/2.3"" (6.17 x 4.55 mm)",,3,1,7,$229.00 ,$199.00 ,0 questions asked,,,
"Jan 5, 2012
 ",Compact,Fujifilm FinePix XP150,"1/2.3"" (6.17 x 4.55 mm)",,0,2,2,,,2 questions asked,,1,3.5
"Mar 22, 2013
 ",Compact,Fujifilm FinePix XP200,"1/2.3"" (6.17 x 4.55 mm)",,2,10,7,,,1 question asked,,2,2.5
"Jan 5, 2011
 ",Compact,Fujifilm FinePix XP30,"1/2.3"" (6.17 x 4.55 mm)",57%,4,5,0,,,0 questions asked,"Reviewed Aug 17, 2011",1,1.5
"Jan 5, 2012
 ",Compact,Fujifilm FinePix XP50,"1/2.3"" (6.17 x 4.55 mm)",,3,2,0,,,1 question asked,,4,1.25
"Jan 7, 2013
 ",Compact,Fujifilm FinePix XP60,"1/2.3"" (6.17 x 4.55 mm)",,0,13,2,$317.99 ,$249.97 ,5 questions asked,,1,3.5
"Jan 6, 2014
 ",Compact,Fujifilm FinePix XP70,"1/2.3"" (6.17 x 4.55 mm)",,0,21,4,$189.99 ,$179.95 ,5 questions asked,,,
"Feb 8, 2005
 ",Ultracompact,Fujifilm FinePix Z1,"1/2.5"" (5.744 x 4.308 mm)",,4,3,0,,,0 questions asked,,12,3.91667
"Jan 5, 2012
 ",Compact,Fujifilm FinePix Z1000EXR,"1/2"" (6.4 x 4.8 mm)",,0,0,0,,,0 questions asked,,,
"Jul 26, 2007
 ",Ultracompact,Fujifilm FinePix Z100fd,"1/2.5"" (5.744 x 4.308 mm)",,2,1,0,$299.95 ,$129.00 ,0 questions asked,,,
"Jul 26, 2007
 ",Ultracompact,Fujifilm FinePix Z10fd,"1/2.5"" (5.744 x 4.308 mm)",,1,1,0,$299.95 ,$119.00 ,1 question asked,,8,3.6875
